Wohnung.com
RATGEBER
IMMOBILIENBEWERTUNG
STATISTIKEN
Adresse
Suche: Stadt, PLZ oder Adresse
Wohnfläche in m²
Wohnung.com Alle Städte
Alle Städte im Überblick
 Baden-Württemberg Bayern Berlin Brandenburg Bremen Hamburg Hessen Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Sachsen Sachsen-Anhalt Schleswig-Holstein Thüringen
Ø Mietpreis: von 0 bis 30 €/m²
Ø Kaufpreis: von 0 bis 10.000 €/m²
A ∅ MIETE / ∅ KAUF
Bad Windsheim5,92 €/m² / 1.394 €/m²
Bad Wörishofen7,72 €/m² / 2.487 €/m²
Baierbach6,53 €/m² / 1.954 €/m²
Baierbrunn13,72 €/m² / 6.188 €/m²
Baiern9,33 €/m² / 3.200 €/m²
Baiersdorf8,49 €/m² / 2.352 €/m²
Baisweil5,54 €/m² / 1.556 €/m²
Balderschwang7,83 €/m² / 2.568 €/m²
Balzhausen5,01 €/m² / 1.522 €/m²
Bamberg8,78 €/m² / 2.502 €/m²
Barbing7,25 €/m² / 2.839 €/m²
Bastheim5,33 €/m² / 863 €/m²
Baudenbach10,22 €/m² / 505 €/m²
Baunach5,86 €/m² / 1.741 €/m²
Bayerbach5,47 €/m² / 1.534 €/m²
Bayerisch Eisenstein4,80 €/m² / 896 €/m²
Bayerisch Gmain8,89 €/m² / 3.287 €/m²
Bayreuth8,52 €/m² / 2.054 €/m²
Bayrischzell8,02 €/m² / 2.873 €/m²
Bechhofen5,83 €/m² / 1.100 €/m²
Bechtsrieth5,41 €/m² / 1.619 €/m²
Beilngries7,74 €/m² / 2.543 €/m²
Bellenberg7,91 €/m² / 2.112 €/m²
Benediktbeuern9,27 €/m² / 3.763 €/m²
Beratzhausen6,03 €/m² / 1.620 €/m²
Berching6,62 €/m² / 1.494 €/m²
Berg9,86 €/m² / 3.518 €/m²
Berg im Gau7,46 €/m² / 3.993 €/m²
Bergen5,75 €/m² / 1.414 €/m²
Bergkirchen10,43 €/m² / 4.610 €/m²
Berglern8,13 €/m² / 2.528 €/m²
Bergrheinfeld6,43 €/m² / 1.621 €/m²
Bergtheim7,50 €/m² / 1.455 €/m²
Bernau8,03 €/m² / 2.111 €/m²
Bernbeuren6,43 €/m² / 1.971 €/m²
Berngau6,84 €/m² / 1.862 €/m²
Bernried7,76 €/m² / 2.374 €/m²
Bessenbach6,93 €/m² / 1.861 €/m²
Betzenstein4,89 €/m² / 1.213 €/m²
Betzigau7,06 €/m² / 2.165 €/m²
Biberbach6,66 €/m² / 1.942 €/m²
Bibertal6,26 €/m² / 1.793 €/m²
Biburg5,98 €/m² / 1.777 €/m²
Bichl9,00 €/m² / 4.191 €/m²
Bidingen6,13 €/m² / 1.697 €/m²
Biebelried6,13 €/m² / 1.497 €/m²
Bieberehren5,43 €/m² / 1.002 €/m²
Biessenhofen6,76 €/m² / 2.375 €/m²
Bindlach7,03 €/m² / 1.718 €/m²
Binswangen6,37 €/m² / 1.721 €/m²
Birgland5,06 €/m² / 1.469 €/m²
Birkenfeld6,32 €/m² / 1.540 €/m²
Birnbach5,83 €/m² / 1.345 €/m²
Bischberg7,12 €/m² / 1.969 €/m²
Bischofsmais5,28 €/m² / 999 €/m²
Bischofswiesen7,71 €/m² / 2.898 €/m²
Blaibach5,59 €/m² / 1.121 €/m²
Blaichach7,41 €/m² / 2.166 €/m²
Blankenbach5,79 €/m² / 1.480 €/m²
Blindheim5,34 €/m² / 1.474 €/m²
Bobingen7,72 €/m² / 2.411 €/m²
Bodenkirchen5,53 €/m² / 1.769 €/m²
Bodenmais5,72 €/m² / 1.142 €/m²
Bodenwöhr5,73 €/m² / 1.551 €/m²
Bodolz10,00 €/m² / 3.547 €/m²
Bogen6,37 €/m² / 1.523 €/m²
Bolsterlang9,58 €/m² / 2.540 €/m²
Bonstetten9,28 €/m² / 2.380 €/m²
Boos5,90 €/m² / 1.650 €/m²
Brand4,14 €/m² / 679 €/m²
Brannenburg8,73 €/m² / 3.233 €/m²
Breitbrunn8,64 €/m² / 5.164 €/m²
Breitengüßbach6,43 €/m² / 1.940 €/m²
Breitenthal5,70 €/m² / 1.208 €/m²
Brennberg5,99 €/m² / 1.903 €/m²
Bruck9,40 €/m² / 3.177 €/m²
Bruckberg6,78 €/m² / 1.940 €/m²
Bruckmühl9,03 €/m² / 3.356 €/m²
Brunn7,79 €/m² / 2.244 €/m²
Brunnen9,45 €/m² / 1.921 €/m²
Brunnthal11,34 €/m² / 4.625 €/m²
Bubenreuth9,58 €/m² / 3.067 €/m²
Bubesheim6,89 €/m² / 2.333 €/m²
Buch7,48 €/m² / 1.916 €/m²
Buch a. Wald6,33 €/m² / 1.361 €/m²
Buchdorf6,40 €/m² / 1.705 €/m²
Buchenberg7,40 €/m² / 2.205 €/m²
Buchhofen5,51 €/m² / 1.313 €/m²
Buchloe7,88 €/m² / 2.490 €/m²
Buckenhof9,30 €/m² / 3.357 €/m²
Bundorf3,75 €/m² / 763 €/m²
Burgau6,58 €/m² / 1.747 €/m²
Burggen6,78 €/m² / 1.816 €/m²
Burghaslach5,73 €/m² / 1.365 €/m²
Burghausen7,15 €/m² / 2.244 €/m²
Burgheim6,50 €/m² / 1.731 €/m²
Burgkunstadt4,94 €/m² / 953 €/m²
Burglauer4,82 €/m² / 1.059 €/m²
Burglengenfeld6,76 €/m² / 1.772 €/m²
Burgoberbach5,61 €/m² / 1.471 €/m²
Burgpreppach3,48 €/m² / 466 €/m²
Burgsinn4,41 €/m² / 831 €/m²
Burgthann7,14 €/m² / 2.249 €/m²
Burgwindheim4,97 €/m² / 1.068 €/m²
Burk4,46 €/m² / 873 €/m²
Burtenbach7,19 €/m² / 1.907 €/m²
Buttenheim6,23 €/m² / 1.588 €/m²
Buttenwiesen6,23 €/m² / 1.647 €/m²
Buxheim8,45 €/m² / 2.660 €/m²
Bärnau3,65 €/m² / 555 €/m²
Böbing7,02 €/m² / 1.874 €/m²
Böbrach5,69 €/m² / 1.092 €/m²
Böhen6,61 €/m² / 2.420 €/m²
Böhmfeld7,86 €/m² / 3.051 €/m²
Büchenbach7,14 €/m² / 1.965 €/m²
Büchlberg5,59 €/m² / 1.529 €/m²
Bütthard4,84 €/m² / 804 €/m²
C ∅ MIETE / ∅ KAUF
Cadolzburg7,37 €/m² / 2.224 €/m²
Cham6,15 €/m² / 1.621 €/m²
Chamerau5,00 €/m² / 1.419 €/m²
Chieming8,76 €/m² / 3.734 €/m²
Coburg6,95 €/m² / 1.709 €/m²
Collenberg4,55 €/m² / 851 €/m²
Colmberg5,81 €/m² / 1.742 €/m²
Creußen6,13 €/m² / 1.171 €/m²
D ∅ MIETE / ∅ KAUF
Dachau11,83 €/m² / 4.516 €/m²
Dachsbach5,48 €/m² / 1.666 €/m²
Daiting5,86 €/m² / 1.495 €/m²
Dammbach5,40 €/m² / 1.644 €/m²
Dasing7,61 €/m² / 2.772 €/m²
Deggendorf7,43 €/m² / 2.286 €/m²
Deining5,56 €/m² / 1.678 €/m²
Deiningen6,63 €/m² / 1.712 €/m²
Deisenhausen5,12 €/m² / 1.263 €/m²
Denklingen7,40 €/m² / 2.419 €/m²
Dettelbach6,40 €/m² / 1.561 €/m²
Deuerling7,17 €/m² / 2.326 €/m²
Diebach4,98 €/m² / 1.013 €/m²
Diedorf7,64 €/m² / 2.556 €/m²
Diespeck6,01 €/m² / 1.486 €/m²
Dietenhofen6,26 €/m² / 1.646 €/m²
Dietersburg5,10 €/m² / 2.130 €/m²
Dietersheim5,71 €/m² / 1.467 €/m²
Dieterskirchen4,82 €/m² / 1.217 €/m²
Dietmannsried7,28 €/m² / 2.188 €/m²
Dietramszell8,88 €/m² / 3.864 €/m²
Dingolfing8,15 €/m² / 2.239 €/m²
Dingolshausen4,68 €/m² / 1.500 €/m²
Dinkelsbühl6,71 €/m² / 1.848 €/m²
Dinkelscherben6,14 €/m² / 2.042 €/m²
Dittelbrunn5,65 €/m² / 1.514 €/m²
Dittenheim5,74 €/m² / 1.434 €/m²
Dollnstein8,05 €/m² / 1.455 €/m²
Dombühl4,96 €/m² / 1.099 €/m²
Donaustauf7,59 €/m² / 2.432 €/m²
Donauwörth7,84 €/m² / 2.203 €/m²
Donnersdorf4,88 €/m² / 1.435 €/m²
Dorfprozelten5,04 €/m² / 924 €/m²
Dormitz7,27 €/m² / 2.308 €/m²
Drachselsried4,76 €/m² / 1.226 €/m²
Duggendorf6,09 €/m² / 1.896 €/m²
Durach7,69 €/m² / 2.264 €/m²
Döhlau5,16 €/m² / 1.094 €/m²
Dörfles-Esbach6,92 €/m² / 1.758 €/m²
Dürrlauingen6,01 €/m² / 1.622 €/m²
Dürrwangen5,10 €/m² / 762 €/m²
E ∅ MIETE / ∅ KAUF
Ebelsbach6,04 €/m² / 1.504 €/m²
Ebensfeld5,42 €/m² / 1.877 €/m²
Eberfing7,72 €/m² / 3.484 €/m²
Ebermannsdorf5,14 €/m² / 1.675 €/m²
Ebermannstadt6,42 €/m² / 1.687 €/m²
Ebern5,57 €/m² / 1.152 €/m²
Ebersberg10,36 €/m² / 4.026 €/m²
Ebersdorf5,77 €/m² / 1.004 €/m²
Ebnath3,94 €/m² / 565 €/m²
Ebrach5,16 €/m² / 1.005 €/m²
Eching11,38 €/m² / 3.914 €/m²
Eckental7,43 €/m² / 2.093 €/m²
Ederheim5,83 €/m² / 1.978 €/m²
Edling8,36 €/m² / 2.978 €/m²
Effeltrich6,60 €/m² / 2.454 €/m²
Egenhofen8,50 €/m² / 3.538 €/m²
